174321348	1624	189058595
59985899	1625	200225317
155005009	1626	98264304
200545098	1627	195137972|194454119
197920093	1628	110717311|200322819|177288938|190948720|184945910|199475198
197479611	11	174368351
150944040	1629	200434589
192586709	1630	198633277
183978629	1631	191699208
31657047	1632	184498120
197252670	1633	194454009
136243487	1446	129548743|148307769|198882067
194377665	1634	198270965|120473020|195779918
197520600	1635	198228139|198503479|188381045|191321352|183730366
141528805	11	108480643|184298050
187998204	207	190344520|197080986
198082184	11	186809419
167543947	1636	142501165|201542935
193173165	1637	192515040|189045263|181299805|189847385|195734350|189588082|193506756
165016026	1638	60390382
190823363	11	184726761|191609525|193223067
178276350	11	118579481
149716255	1639	159906672
103547128	1640	184899870
166025161	1641	185119459|177850870|173555368|195568979
188329973	1628	183722660
149675190	1626	195621856
107891166	11	202240662
168128994	1642	182998227
183486662	207	172479067|181930043|184630103|183946205|186678877
183315899	1446	180472255
178391393	1628	146623034
193512856	11	163780817
153236639	207	186047481|160769776|143658946|188647455
191987428	207	189593881|189248840|152716502
192401231	1628	196751666|197756376|182542211|193064505|196276463|191801173|190555473|183585324
39384815	1643	187005024
154380731	1644	190899884
188208671	1638	185288618
192584864	1626	193643843
187976020	1626	184966790
183817288	1645	180099754
187619920	1638	192271045|183151014|159497424|195152018|184044769
188977857	1446	195136397|186452696|187615852|189016220|149943379|182280930|197707672|195795907|162356274|186712183|176736466|195616667|147333176|182491337|186830327|183284813|174770923|191929045|178656913|181162915|195308794|162586361|192666437|184708593|191585454|183977090|192864303|159834068|129512914|146894670|189015492|183869980|200840738|170748775|189074384|188916563|131082544|190298802|187494236|194104886|123641970|163667037|192047262|190110481|190393226|173720787|199787182|190228426|190915990|189467522|181163101|190260583|188127579|112767745|186951961|189055945|185077281|187783042|189757901
178652174	1646	191941136
37705277	1647	21192911
191376507	207	185835841
161470732	1628	153992416|180486591|159687436|158840711
154084550	1642	185215516
141732324	1648	69968223
186080116	1638	130861689
183653238	1649	185679667
185071690	207	191146772
189038186	11	177092467
187821381	1446	45921341|172792801|189045263|185293065
191308693	1650	42407979
190594961	207	153808735
188764240	1651	191482046
188317869	1652	188343930|192817424|182134494|192374464|193466665|184358459
191319458	207	122224398
176472207	11	182571852|188733069
181971980	1631	176999520
176860067	1653	188807709
80600369	1628	146437941
183686455	207	179901702|186116625|184793882|151080936|188022212
185070584	207	145403045|180724217
182335861	207	189555991
176705997	1636	7174385|182659211|160695805|180602125|147751464
150304829	1446	125585809|177749940|49679471
78350238	11	157717738
110489205	11	165584926|110639521|159834068|105548964
183899878	1654	148202282
177430836	1655	183761024
186025611	207	178611217
143939376	1628	181667301
161302177	1656	65805311
185246229	1657	171067778|189438282
180742272	1628	180143855|180942890|192232946|187521670|179857403|156783108
185695873	11	185028461|147971505|25227234|198228318|172913297|191552666|152010138
58371838	1658	72761710
158101705	1638	156014310|158647664
184380638	1626	187160522|163689997|176738009|179378642
177563512	1659	144603537
143163739	207	87819850
136518939	1660	172914415
171224526	1640	143076751
43687252	1661	184429795
184629929	11	184493859
176718791	1626	183396567
166172890	1631	147029804|66086171|154676587
201357819	1662	29926268
183725260	1663	190486716|183998675|173534657|182862783|65068770|202045324|183376442|189045263|21275837
170074137	1628	149637987|180389969|187597855
178637563	1446	190749950|146315979|178134583|163293049|189937719|182931589|185770007|185332253
175126161	11	71750533
181093933	11	182550568|179818708|192617437
167992188	1659	187465809|183727901|140547009|172853617|177327157|159602341
110422021	11	181044239
179925642	1628	133754135
102229689	1628	182907616
66945001	1446	185890471
161445818	1638	182256164
65330355	1664	179105132
174094694	1628	138127722|155710754
152421153	11	178156627
157081106	1665	175384183|200686004|200133897
178674426	11	43578344
148578465	1666	152935017
149636852	1638	67275301
50416429	11	161406597
170210661	1667	180280625
167674995	1446	158316972|21192911
178833217	1668	178810845|42357059
151071196	11	110600522
114024672	1628	175915040
133869636	207	177874964
168978743	1669	157029378
111499199	11	149803746
151873198	1446	162819130
38821759	207	46128976|168447441
160499261	1638	72972401
152894223	1628	173720787
179507278	1638	112974544
173702879	1670	177241108|174385536
174753396	1628	178712342|151621175|169935295|179036214
165612010	1636	164558563
176029261	1628	176029238|179678756|177443670|176029377
176826022	11	166637942
176335532	1446	142949961|183003763
170355462	1671	157550980
167587834	1638	174083050
157021907	1672	164292640|132959168|173556286|144604109
199723857	1446	200769155|197770444
170225163	1446	196381111
196325201	1673	194454009
195966031	1626	196661050
196444312	1446	191165670
165325730	1674	174894740|196057828
200322606	11	196738155|200322819
197955273	11	171368365
197955286	11	171368365
201465622	1675	190788801
192876363	1676	189960408|188573600|197315593
153665672	1648	198316067
193026686	1677	192732770|174599544|200251059|189808762|191778427|196656733|184983970|194579053|194535701
196774732	1673	197443042|198397886|197605020|191541455|166692744|195684945|195779978|201007954|199970000|191508274|184403625
141980519	11	159802979|199998629|148682588|183429383|195198049
186443050	1678	193685454
171667258	1679	198047625|188205930|174013594
194997202	1446	197418396|200735507
159449744	1673	187106802|162158404|174116930
179000655	1680	200825272
196347314	1681	194454009
191486343	1648	179817833|191617384|193216741|188742058|197770444|198315999|189559943
167889025	1673	193032342|185020584|188005995|168756375
191685597	1682	192477018|191685622
192963381	1446	200444744
199921260	1628	199633512
200447917	1683	200317060
196985944	1641	193198855|197315194|196089280|194476751|196923612
154960537	11	177677598|186606937|139857067|180388125|172516824|194514619
190063926	1631	195301146
182654367	1684	184994834|193558200|194536015|194158939|143687028
189279143	1673	199754137|191698546|188847098
188018140	11	200578271
191698051	1626	173799304
185841519	1684	192143888|181137897|117569720
198599513	1626	176736753|197418282
