193469935	1446	169858857
130535156	1446	105560377
197222499	1759	188188021
188783756	1446	172422116
195129893	1660	195574471
158012133	1678	173682461
195500681	11	200034337
180344520	1446	196353166|174367731
189295896	207	168221007
182234070	11	184426501
129850571	1642	183942026
190777055	1446	175946121
198346293	1690	192701003
191534463	11	190822615
197090900	1628	192848719
150919527	1636	168357364
183719723	1638	176575831
195409958	11	185674146
183284813	1446	188977857|169858857|176576530|196805126
176105076	2305	172850147
147663289	207	180100589
181900619	1638	166816894
183312069	1626	185082092
144626720	1628	146457315
186606937	1628	158921465|180365348|165394162
144412109	1628	155427892
177398901	1446	137997774
185301565	1446	89082725
185119459	2778	191142223
184293655	1668	171802827
186499634	11	114088611
195941943	1901	185190537
128966606	1446	159885356
187712262	1626	181144879
200659497	1666	191289550
190809507	1628	187316096
179351993	11	180180713
124911919	11	187006809
182372389	1446	41739438
191192703	11	191143231
185012370	11	180691398
160050531	11	173941583
187743606	1626	183797260|25726788
160080212	1642	187940792
154430975	11	156451253
189073195	11	183639308|189653143
158615527	207	195754569
187952045	1626	191700006
183929411	11	182883384
166404408	1446	155628083
142713414	11	112376350
148110753	1628	126060249
82463080	1446	131338160
151560328	2963	181353994
142570029	1446	170005245
184385812	2057	195029145
195690086	1446	195127827
157735114	1723	157098759
197113140	207	189135910|189135398
150802832	1638	162506261
191126324	11	193804304
182663072	11	189132418
187965108	1626	183863951
194509735	11	191647021
136839595	11	156048797
98789706	11	136970217|154480656|144339813|152693239
183728060	2178	183918465
159931908	1756	189777411
192316867	1446	127379303
171687606	1636	172615108
157810101	11	184010238
166051865	1638	164903407
184943860	1648	186070185
195490176	207	179353675
190474520	1640	192918661
194529617	11	176616065
189768175	11	189769736
157050363	1626	157619230
169944623	1777	176110934
191246644	11	186632675|183327085
185984809	11	186452971
192517054	1626	184133730
186061425	11	183497548
124788017	1678	172407873
174971087	1626	186873024
191150058	1638	191635814|159754996|194973025
201007871	1714	154718285
183727909	1642	191626639
50111997	1826	164436974
157120950	1638	159933896
194175611	1638	183269282
184996692	1446	188607234|183804113
200289550	11	186596254
147448842	11	184729059
198555344	2081	191560607
172319056	1628	198763130
142641551	1446	119210669
156261577	11	179813269|150719896
18173968	11	137569492
153172668	1446	129932796
180152318	1958	181716690
175423268	1628	162040459
179804293	2460	177170591
115024298	1446	170509119
180017971	11	177987706
187855196	1446	136870346
156456505	1628	199955450|172266290
187570182	207	160770663
189957116	1446	193744383|125819500|67671496
108624290	11	114088611
156211792	1446	52097345
194864010	11	120663757
189285894	1633	182683504
131937246	1446	68159598
163250013	2130	160116105
152017276	11	196168821
172409264	1446	184548541
95396441	11	79359641
140489943	1446	138822570
183909488	11	179983446
189249935	1626	189461340
179010043	1628	189725202
195571453	1937	167702016
187293801	1636	169842054
184130967	11	169605383
108086461	11	103730149
158121164	2441	195889331
183808581	1626	178854548
178982792	11	176343026
181069684	2221	160424875
191609525	1633	191222850
184000640	1446	86127877
191684366	2074	185603738
181303711	11	154960331
87198987	1446	149930041
191472116	1633	187252814
188373454	207	188531548
183050562	1722	181905715
198228318	1628	184403634|182820998
198427522	3249	191285510
170875717	1763	194880071
148328711	1626	165781752
180666999	1636	168357364
185060916	11	169796748
169512952	1628	169870788
174232794	11	162914031
194251721	2445	92059248
187637203	1	180556187
159723058	1446	150481732
178046328	1638	184848229
163999544	11	200191656
178831497	1446	134599721
201710984	207	201711053
176091392	11	171140136
175021547	11	173761933|188590793
195538277	11	190411958
146024435	3128	192401369
176203889	1636	160977967
182484356	1446	173253633
187313585	2872	47392463
101184705	1446	167778754
183021956	1628	196717875
140216287	1636	168396048
158250959	11	192216518
146159235	11	113217611
121042389	1813	122617081
93791561	207	95114253
188624955	11	185447634
201845294	1845	197791553
150845007	11	147831981
191952675	1642	189834308
199817742	1626	149636815
197056747	1863	195625682
149858751	11	183407142|152455939
196315618	1446	196054590|197927471
177899104	1626	184087679
175930342	1642	105607585
199527929	1626	199696661
129852641	1628	59768050
135773270	11	137778303
184501627	1446	188426553
184274457	1446	200665065
201915525	11	139856910
164558563	1636	165612010
187908027	11	186131822
182449281	1626	134677854
134052719	1633	140684089
178606673	207	145959595
184786704	2945	183649201
154119620	1628	172019664
184404721	1446	174979397
132083828	11	57269364
201076496	11	189043517
184193703	1671	185302946
191121488	11	191121466
195846620	1628	196535540
183032557	1628	171014790|181083153
195069070	1638	196974937
185297651	1628	146136619
179658990	207	164950279
146816889	1628	137003417
147736099	1446	151156978
155700037	1446	184401692
180345059	1790	183234018
151708579	2676	146280277
191298600	207	190480175
181269604	11	154380587
185059355	11	161425425
171692610	2298	188522834
144591317	11	172527006
191199261	207	184009379
157716700	1628	188075455
181276428	1664	192907404
185490451	1857	172106100
117539710	1638	134002222
160051121	1633	166680552
187942243	11	192427521|194493447
195069070	11	190858248|196049545
186452696	1633	200484928
132521420	11	167837095
191884199	11	192002827
110799291	1733	160051071
173034108	11	183639308
176847871	1628	180276972
191551309	3076	190333957
185070754	11	167201415
173228540	1626	112654374
191199382	11	179742237
121737700	1446	113026207
194564738	11	193654461|194592022
201892743	11	188949405
119116998	1638	170427310
199408576	11	177509510
193633893	1890	181615904
154595584	1446	144090846
188937403	2409	179734357
176116217	1684	172419110
118779641	11	130097273
178192911	1636	134982997
172005348	1628	168933142
199124583	1628	170780656
193961289	11	191238965
181739138	11	174098513|169243252
192479134	1896	185191558
175826738	1446	190239310
185918117	1648	180519488
156525766	1628	181657745
99691003	11	137233309
187625224	1965	162121080
164725243	1446	171991752
180365913	1626	144346451|180167008
183887925	1446	170469525
192608297	11	184113816
191929045	1628	191528535|151019793
144737137	1446	72781782
181602769	1446	160007335|190304151|176731775
201465754	2188	192903101
183714987	11	191213572
196288514	11	184221544
190151554	1920	182653339
170405908	2790	155776566
196751666	1628	192401231
192830647	11	183678872
178918589	1786	178917975
187808883	1660	194648944
98371210	1446	193580693
157428364	1626	147419314
129116748	11	104069062
168373936	1628	145948495
161407616	1779	157851550
182429117	11	182726511
169691971	11	172324030
