151872885	1	202045324|181596388
177170591	0	177443670
183407129	11	123384235|161218237
182575686	4	189294026|188823192
174979397	0	182659982
192542106	11	146584373|190295841
188929610	4	187968406
179687347	1	179532196
181670708	0	187594409|181969414
184955576	11	192945687|192854550|192325461
192766945	11	183249938|187892675
179283701	50	189761801
61063249	1	183869980
178551475	11	186970395|190641189
133220380	11	98789706
186636317	1	180143855
154445772	367	184749512
192907404	1	184899870|182453129
179992648	193	184193703
152595518	11	153621478|154073137
196324801	4	193693983|197329926
166967858	3	167737426
183445838	11	184563295|187635430|183228748
167530794	3	171576246
184915140	1	192410604|186450316|187263517
181751693	1	179206356
200980614	1	183118300
181593260	4	187968406
181332741	1	179532196
189071764	1	180472255
179089190	0	191646520
175537351	11	157476498|192836699
195527861	120	192793404
192618365	223	190486716
182182533	1	179206356
184687858	1	184083427
125384604	1	25227234|132862101
103372913	11	159796898
185842663	4	192880190
186452971	11	186818747|185984809
195795115	0	194793768
148069736	3	184385812
187982050	11	189074384
177115624	0	183074434
186256011	5	181899597
176731775	1	181602769
189781431	451	186742985
123470917	1	191801173
191300349	3	193867468|159469244
190530631	1	192887785
191778796	1	187494928|199473495|194657875
183934005	1	182931589|184117579
194798977	74	193506756
186591509	11	198271545|183877646|196049280|196315618|176896719
146363741	11	104904179|146322993
176839678	11	187409375|188360275
191640949	1	191900716
152421153	37	178156627
179159316	11	191849662|199928236
180595815	1	186392494
191006364	1	202045324
196932277	1	179683669
195806965	3	194384965
148353785	873	181900619
172914076	11	177187261
194358793	11	190808554|190380428|193120121
186596636	11	178805591|184262782
174638721	11	148972503|201320381|181859758
200382231	1	180143855|199473495
186950747	11	189667171|193812314|189916617
169605383	1	157665460|175310049|183903059
177938582	11	190010060|195332525|135012633|95768597|196863660
169044220	11	177572722|167581570
180312223	4	88237031|196824224
190316305	11	190327086|192817424|194335374|188865211
10530103	0	161308346|183491217
159130697	3	167737426
157772187	1	186951961|191801173|191643742
181254772	697	179485639
196805126	1	183284813
175045820	11	174591624
190833286	306	189015492
179103801	11	193349521|183673510|183985715|186960292|183361671
193743842	11	187675833|193743264
172313062	1	185144593
160574262	11	170425391|159665420
191545882	1	184681498
187068083	11	195564990|186506338|192443901|45533039
192995815	11	185332253|199423913|193093771
170469525	11	170120901|191840922|165223535
172192313	11	161856455|180350151
180365348	1	179532196|186392494|192397226|165755300
183972441	242	180709285
193531685	1	179683669
193626405	11	192817247|166032707
194206388	11	198700459|195739272
163457314	92	190903156
196173484	219	197974671
188791749	11	193348504|195683745|199029085|196442998
181166025	11	181264483|166627746
173522506	701	176488005
199060925	11	180105749|193510198
176725485	0	158506317|171750227
177417391	11	186606937
187961948	11	195715455
172638321	158	174349603
188882476	11	195158483|195227208
185263175	11	185159317|148029461
195301853	145	181886950
188977857	11	189074384|188127579|195616667|147333176|191585454|191929045|178656913|195308794|192864303|146894670|131082544|187494236|123641970|163667037|190393226|190915990|185077281|189467522
191693077	3	195460591
183287485	4	182951288|146335697
190977669	1	190327595
190295096	11	126481518|188127579
177898445	351	175383613
186691616	11	170837760|188742829
185753425	4	146151067
191635814	1	191150058
195809554	0	194793768|194419513
188807437	11	192817424|120603345
180567795	4	41942642|169497782
193976553	11	193978425|184766044
149930708	11	153456338|149791287
172324030	3	178544315|180204993
193786115	4	189039383|184504092|194157758
184955271	1	180472255|187379322|194358319
194679833	11	192860139|193883962
200484928	1	186452696|200306214
156325876	3	194384965
191912551	11	196094415|189116932
184774694	1	191900716
133226809	3	183376442
194874463	11	200444744|181915762
180796086	11	101676655|43578344
191649158	50	194864010|181667324
181083869	3	167737426
178145141	11	200322819
192766945	1	187890431|202718498|175768785
172914076	91	182373082
195372366	27	203069262|186025267
151157737	1231	117828096
184031311	11	185490451|186083206|191929198
179734357	873	181900619
173761933	11	175021547|181632421
197706758	0	189058595
184056248	37	178156627
192690191	448	183352254
185742486	135	180707863
178342913	251	190320096
184527797	11	90713978|195846840
150894162	11	150870094|197096603|159519877|115941184|157910001|88879381|132521637|196306441|157406130|136546014|153440908|199244654
170644573	3	184587087|178200806
118295431	0	157003705|152716064|142003778
195189678	11	200542141|154352370
158767665	1	184389196|121525168
168128994	15	182998227
151169355	11	153861347|154464175
186596636	236	190334495
168703206	11	177187261|202155842|172846524|174535935|157909638
188211984	1	160366552|182003447
174593106	11	173296823|172367207
120569725	4	182343447|195247329
200149033	221	195568976
159582724	11	199283214|199497323
180938243	11	186606937
149265139	1	161655784
157014589	11	155664055|135402237|156909800|161218549
183870171	11	159736544|163780930
178362881	3	193867468
183555557	60	189960408
144346451	1	184074643|184069451
189834308	11	181678866|194751456
193392397	1	193032342
181266781	1	186392494
176998938	221	195568976
191548653	1	184681498|181267702|181996956
181340092	0	191699216|190014171
188155870	4	184793882
196689508	2	195069070
160809447	91	182373082
162391851	11	200178525|158996293
164419203	0	176646033
186625212	1	191900716
166472853	37	178156627
191630970	40	173555368
185158840	11	134689728|188113310|63076174
167274155	11	179105132|182621831|158785512|179908032|174584849|181288487|188081572|166626095
199943148	11	194395393|150229470
176029267	102	173878154|158440531
194648012	11	198196303|194484440|158562069
118295431	97	195779978
199916901	64	198169120
172527717	11	136469444|189392998|172354179|177321008
195487519	1	161655784
42768901	3	183376442
192907404	11	189127875|195715455|171255261|195696530
178821333	11	200033631|190991501
85815831	3	195809598
157858273	5	181899597|168933916
179571510	30	189957116
149090931	1231	117828096
130097633	11	174888705|125744732|147913483
193066303	1	182003447
193021688	11	147333176|192943852
178358152	50	191703105
196431790	97	195779978
181836903	11	109549289|183585324|181697867|197829505
183517229	0	179001630
147198772	11	157909999|159676300|157080831|158657294
186064613	11	190232750|190862323|186560109|183766454|188745221
