182792468	1931	118518936	147212316|121097831|187390976|152589731|191486343|184723300|184562129|184007316|169733086|184629501|178276350|175759257|174682561|194504949|199183086|157104147|124651290|156461425|126961412|173729197|144628954|194564778|184982639|156087630|159152917|154435765|192960228|190241311|196177236|192390460|193364839|155627407|177588926|187494878|192876012|173797224|174687023|163736813|105192672|193660971|170278372|169695628|140799487|173702879|171542167|189751200|100263578|175215798|182436092|165039347|113114998|151263056|191894633|171652912|118030238|181436915|171935082|181069662|195575825|193744053|192635936|194151768|147965111|175754444|179915796|111850182|182467422|196089667|164166989|137646095|176308650|180966388|148578465|170145121|178799657|139857665|167858652|191109119|159418195|180885903|160986190|182557131|190277794|186147259|153141704|142185217|152358608|188329177|187504608|150414669|181710188|174669059|173178470|147905820|165282523|188640971|185548130|179792788|124534643
182547525	1446	168897326	185742187|145379062|191526431|180691398|179793548|165124152|164923137|200492497|171611549|189959706|200291829|38027354|188824680|195479135|154445772|155565491|195098240|197603446|165394162|158096491|189904806|171989974|195387722|156574458|161437272|115139645|148082801|146953113|166296747|160615848|197117492|140106534|164086830|183620614|152557048|99608057|183355423|5439728|164860148|139781404|190711051|159969093|181703137|151071316|194381380|190964743|56967701|182182533|168324071|186260123|180096142|195595601|192191305|189910776|199934760|111323068|185116938|159472899|158571646|195570067|182418281|198609788|172414658|197163796|181703989|176984683|74924314|173511054|194876545|42547967|199178934|196574702|185181562|196883918|197013886|146565582|176960359|193610922|136111992|38002864|21322256|147409003|195145062|167263826|200288208|194655297|185549371|188698321|155994357|196262732|196111782|189957572|183014866|116794769|149909411|136376442|178612022|163736813|174612849
195409958	11	185674146	167154375|177189650|195617387|169724025|167301475|142953521|165590299|196177236|187476727|190588899|173711173|188256340|72513591|187466084|179201008|141865011|183486674|192407277|192127820|174833415|191577366|200674684|127475880|192711141|92579171|178604254|197917890|118099122|133863945|194343200|181396681|75738650|178470613|151563255|182992617|181657745|192712270|180669788|188970687|154528335|68351757|179588022|180511098|200860968|187128312|183767771|169705418|169929692|179090051|191505126|199775990|186538299|174008996|133232027|172422116|181701258|188093021|177109685|160796251|194642571|188393866|184185445|190457034|185182909|184642751|196639993|200773009|173706481|143594140|202382575|189254569|200980614|148353785|191321451|153687307|159842215|179821440|181568992|197509623|165608634|196203377|157895265|166622660|188223203|102283879|178915013|195401702|190435290|168164359|181569082|171759870|136950575|192701003|185944599|182759014|166530817|114887224|191894863|169103305
176847871	1628	180276972	190609122|184385607|161844616|169602732|200335150|164261066|174494652|161216456|130519894|193917613|149685264|82230019|149473529|146565582|197626195|191898805|155026727|182768064|191048607|191482449|194685864|185040676|91667305|169720696|186586989|182872270|187040400|148263849|200860968|183298790|191241618|183419947|183050055|165938047|182377268|186571268|156353155|144884757|195185173|127466076|147122101|196298034|134712334|186355332|144109318|158793076|169842054|196104875|185049185|163581987|150719896|164936366|144948556|190588899|170213262|169916764|176565800|176509618|191631045|174361933|182593517|169127373|143163739|164683144|149428808|171779944|165039126|171970324|184007316|198314977|194791452|137627644|176097992|79124884|184156005|154955343|181316073|196371334|178833217|148999855|171485358|160129555|185842930|165040517|154937089|142117032|190778610|166826810|143614515|161137057|158096491|164788309|199564817|191319775|201897557|197348000|178196950|196053632|151504055
151889770	2369	157204497	164789030|191968770|200388879|180966388|160121541|126301644|157113632|192969401|197704889|195645226|194720070|198379575|193786115|130029216|188583555|171581025|174495400|163750225|179587517|185830549|191587760|160162608|141316152|139580835|195826701|14174397|186262165|195679150|156451847|180143706|195151633|171367616|149257173|111227517|110955551|170575128|195236638|189761070|172908320|179813269|92444931|162790579|193464105|139857665|192426021|164435912|185833833|173703491|189507419|166323185|183283550|171957213|143218097|188373299|181711040|169020530|196106131|197972207|163005632|197135648|191305988|150888794|174057635|175016932|101819522|177401593|146164074|179015957|195580928|173036487|158175636|154643675|198271706|189905339|201446116|178122232|126843410|181394753|7341308|169990755|154166034|159606884|153997550|180839441|185281284|102570993|129792903|189932186|184742581|118295431|190621974|197010177|161275485|148118519|190340453|173729221|87000059|160986190|193024953
40872150	1626	186137152	160065661|146823562|174360948|109266786|190304151|128118938|93244205|174778089|175946289|197335103|169720698|167166470|191898499|197706207|198285987|157699185|181593781|195828027|146641839|189641540|188426553|175187849|192276341|183001449|188766930|185190537|192981013|159174936|163895484|195559833|134778618|194506385|161275485|193252017|172519323|96491854|186169035|162245797|185221439|158761485|190959607|117488893|178862617|143795454|198730897|195653388|193131067|154297520|94853148|143803547|155639682|154940272|195135834|169358197|48263343|181830001|144276538|156616907|178674426|181652956|96674574|143788637|152358608|125391371|178931572|194501002|180609055|170228209|157079344|192426021|134921599|163529823|185199785|195383220|190272667|196087939|190302598|71447935|191121443|23298614|154959039|179697266|184441963|195540397|156320556|160952123|183021864|163787033|165005820|194720070|193702068|172407873|191536623|169557086|169828096|77905476|175023791|158690290|141980519
187594409	1799	181670708	182467422|56967701|138407644|191987350|195855518|189590095|119040638|172324006|187040376|22873552|195922649|185504447|180822314|137569492|197138657|15812068|192220577|198314550|195944057|187961855|190080238|183798676|186986936|155393760|195395823|131189942|169165504|19740818|46320176|175368837|158983309|151426720|188260494|64341000|175868557|161844686|167674995|137328477|177938398|188238150|188148535|30537124|184642751|52465432|180647845|186053693|166901580|171970324|10117163|200980614|148744993|176675121|194321291|184830883|200030748|145109939|154937089|170592286|196623014|194302044|172407255|118704130|130880430|194939651|173101021|193092536|164525586|127379086|149183248|138000032|124959343|188385313|184329503|175464397|158607543|179904105|200694922|163099618|171251685|195617744|187947381|195465690|197349486|188229558|88753493|183331499|138378475|195693636|178524903|191714342|176510249|134823288|190611481|149636852|187340337|180793643|199817190|179485516|183153395
157461364	1446	157204163	168306629|192276138|154297520|155014420|188157704|191369060|193842389|148230997|191643267|193864665|194750247|171524727|178983657|195638799|189043517|181340092|198616538|179667977|119623511|199508394|177819357|196368988|185945298|176749337|173788933|66944583|178652174|129792902|184429168|170456288|161189426|135184215|188017975|170645757|193021688|192584241|171809992|177444402|185322416|119533427|201472882|187981582|130557785|126775022|185315025|195828705|166472853|166383537|175502353|189455831|177223199|197455920|120872594|168163453|179668339|200285793|195898984|150151743|185001178|194710548|116410270|186419972|192401744|187980523|201125499|198505220|191290994|168372734|175688979|144352559|186873024|171589216|173539866|144925504|76776893|179042413|197211773|120438675|166184781|177938582|182350726|134921599|190204018|159125944|172418155|167694508|191292231|151255699|187966940|107447614|175728591|179899801|191649237|142954148|140430551|173609225|179874197|191500499|187727749
196503374	207	177724054	145959595|194872101|170355462|186148660|193517596|188373211|188811712|194793414|145640126|99040398|155880421|182850203|178824271|120960130|157104147|145935090|195992308|193351314|144669840|194423919|172943291|201917402|136100029|193556120|168897326|156841305|183649201|178325331|164333459|191086035|179585631|150852920|201368344|191186808|120839784|190335072|196863145|194089854|197352163|180555934|170752724|189072121|179571366|166112413|173653124|147212316|189144234|181659084|189592347|28867334|187619920|174337495|158505784|174255482|151573488|181375459|170552164|134944806|188913450|171026026|168445861|118588384|182740325|200017400|111695183|178830262|171317363|170780656|196197736|192823572|178325328|139857665|164167022|178834260|162292788|186148339|192065290|66722437|184324840|172513775|40083161|184705685|176566249|197830536|192324874|109023094|107132889|188806087|182442474|182085715|191230885|156231583|188623709|153377493|177087600|188237784|199208326|180236910|190689668
191444538	2451	190965200	157417278|130029216|195944057|176704007|198418030|153575861|180995691|9468061|136243487|191907157|165889323|136516438|192649356|60391027|172521941|195795115|169618277|186174428|113379558|186661927|178356364|93371342|172011526|188126344|193732788|192288000|163529278|173381727|156375238|191087866|149843694|170213195|52926928|180648258|132101257|197329659|187130785|147938064|197290959|194301106|197407959|192797620|188329177|122754156|195544967|186871276|145311905|195082757|191566995|170743576|184111536|191987428|130557785|105108929|167455508|169065934|170038780|158295598|194474317|196477545|196453490|182413535|161589549|201572551|150158085|164860148|161507400|201923307|1414434|195588333|188380278|136281333|197090138|192524032|174570005|188260494|167837095|198716068|143081469|190415044|143498788|184403634|172947684|193455139|199769053|161196461|185275943|134712334|180223749|146458342|188057571|194327959|184029802|130880430|160469626|174144503|153234360|197957455|194949057
